epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2816.93,1.32599,0.92981,0.90537,0.44818,0.33456,0.33451,0.19523,1.33587,0.97815,0.90802,0.002278,0.002278,0.002278
80,2852.38,1.33142,0.93314,0.90568,0.44817,0.33911,0.33775,0.1967,1.33505,0.97891,0.90722,0.002179,0.002179,0.002179
81,2887.61,1.32937,0.92783,0.90532,0.4516,0.33788,0.33696,0.1962,1.33468,0.97857,0.9067,0.00208,0.00208,0.00208
82,2923.26,1.33096,0.92481,0.90434,0.46256,0.3351,0.33898,0.19746,1.335,0.97671,0.90633,0.001981,0.001981,0.001981
83,2958.6,1.32195,0.92317,0.90307,0.45695,0.33777,0.33887,0.19706,1.33379,0.97596,0.90602,0.001882,0.001882,0.001882
84,2993.65,1.32227,0.92147,0.9036,0.45303,0.33984,0.33903,0.19826,1.33057,0.97401,0.90509,0.001783,0.001783,0.001783
85,3029.34,1.32157,0.92038,0.90277,0.44898,0.33856,0.33817,0.19764,1.33068,0.97598,0.90511,0.001684,0.001684,0.001684
86,3065.39,1.32034,0.9156,0.90284,0.4521,0.34085,0.34004,0.19852,1.33198,0.9744,0.90608,0.001585,0.001585,0.001585
87,3101.01,1.31545,0.91278,0.90108,0.45074,0.33986,0.33908,0.19866,1.33049,0.97336,0.90617,0.001486,0.001486,0.001486
88,3136.34,1.30715,0.90506,0.90003,0.45172,0.34,0.34041,0.199,1.32988,0.9737,0.90572,0.001387,0.001387,0.001387
89,3171.76,1.31575,0.90921,0.90138,0.44853,0.34253,0.34082,0.19913,1.33274,0.97459,0.90613,0.001288,0.001288,0.001288
90,3207.48,1.31408,0.91208,0.90212,0.44637,0.34086,0.34039,0.19868,1.33121,0.97399,0.90578,0.001189,0.001189,0.001189
91,3241.8,1.28575,0.88733,0.90257,0.44364,0.34087,0.33877,0.19751,1.33252,0.97632,0.90577,0.00109,0.00109,0.00109
92,3275.05,1.27613,0.87028,0.89845,0.44067,0.33888,0.33596,0.19603,1.33322,0.97543,0.90607,0.000991,0.000991,0.000991
93,3308.62,1.27293,0.86873,0.89778,0.44724,0.33966,0.33717,0.19616,1.33291,0.97455,0.90597,0.000892,0.000892,0.000892
94,3342.5,1.26804,0.86398,0.89902,0.44678,0.33945,0.33706,0.1966,1.3332,0.97506,0.90633,0.000793,0.000793,0.000793
95,3376.66,1.26363,0.85974,0.89688,0.4467,0.33908,0.33637,0.19596,1.33385,0.97588,0.90617,0.000694,0.000694,0.000694
96,3409.84,1.26009,0.85446,0.89594,0.44796,0.3389,0.33601,0.19552,1.33414,0.97601,0.90615,0.000595,0.000595,0.000595
97,3443.16,1.25769,0.85082,0.89571,0.44592,0.33972,0.33644,0.19614,1.33282,0.97494,0.90608,0.000496,0.000496,0.000496
98,3476.58,1.25424,0.84884,0.89398,0.44412,0.34068,0.33684,0.19648,1.33327,0.9756,0.90624,0.000397,0.000397,0.000397
99,3509.54,1.25568,0.84681,0.89476,0.44242,0.34116,0.33726,0.1967,1.33298,0.97615,0.90603,0.000298,0.000298,0.000298
100,3543.17,1.25414,0.84524,0.89432,0.44106,0.34128,0.33713,0.19683,1.33298,0.97644,0.906,0.000199,0.000199,0.000199
